total_elementwise_ops,total_reduction_ops,total_ops,total_memory_accesses_required,optimal_op_per_byte,output_activation_reg_intensity,input_activation_reg_intensity,weight_reg_intensity,pe_spad_intensity,inter_PE_spatial_intensity,shared_glb_intensity,DRAM_intensity,GFLOPs (@1GHz),Utilization (%),Cycles,Energy (uJ),EDP(J*cycle),Area (mm^2),Computes,mac fJ/compute,output_activation_reg fJ/compute,input_activation_reg fJ/compute,weight_reg fJ/compute,pe_spad fJ/compute,shared_glb fJ/compute,DRAM fJ/compute,Total fJ/compute,layer
115605504.0,115454976.0,231060480.0,742875.0,155.52,"{'Total scalar accesses': 346515456.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 231211008.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 123863040.0, 'Op per Byte': 0.93}","{'Total scalar accesses': 233318400.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 28045152.0, 'Op per Byte': 4.12}","{'Total scalar accesses': 821088.0, 'Op per Byte': 140.7}",15.99,4.76,14450688.0,696.75,10100.0,0.0,115605504.0,398.55,181.96,182.19,182.19,2252.46,1920.52,909.12,6027.0,ViT_00
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_01
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_02
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_03
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_04
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_05
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_06
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_07
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_08
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_09
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_10
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_11
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_12
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_13
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_14
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_15
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_16
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_17
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_18
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_19
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_20
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_21
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_22
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_23
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_24
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_25
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_26
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_27
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_28
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_29
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_30
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_31
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_32
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_33
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_34
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_35
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_36
465708.0,463344.0,929052.0,43537.0,10.67,"{'Total scalar accesses': 1392396.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 931416.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 504517.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 929052.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 468072.0, 'Op per Byte': 0.99}","{'Total scalar accesses': 43537.0, 'Op per Byte': 10.67}",1.99,0.6,465708.0,10.83,5.04,0.0,465708.0,398.55,181.27,182.19,182.19,2219.45,8122.13,11966.98,23252.77,ViT_37
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_38
464781312.0,464176128.0,928957440.0,3115776.0,149.07,"{'Total scalar accesses': 941666304.0, 'Op per Byte': 0.49}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 31469568.0, 'Op per Byte': 14.76}",{},"{'Total scalar accesses': 583487232.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 6746880.0, 'Op per Byte': 68.84}",15.99,4.76,58097664.0,6053.98,352000.0,0.0,464781312.0,398.55,181.72,182.19,182.19,79.97,10142.73,1858.08,13025.44,ViT_39
464781312.0,464630016.0,929411328.0,3115776.0,149.15,"{'Total scalar accesses': 967689216.0, 'Op per Byte': 0.48}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 929562624.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 81699840.0, 'Op per Byte': 5.69}",{},"{'Total scalar accesses': 583941120.0, 'Op per Byte': 0.8}","{'Total scalar accesses': 7654656.0, 'Op per Byte': 60.71}",16.0,4.76,58097664.0,6229.13,362000.0,0.0,464781312.0,398.55,182.08,182.19,182.19,200.08,10149.1,2108.08,13402.28,ViT_40
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_41
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_42
116195328.0,116044032.0,232239360.0,892416.0,130.12,"{'Total scalar accesses': 233298432.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 232390656.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 3328512.0, 'Op per Byte': 34.89}",{},"{'Total scalar accesses': 131914752.0, 'Op per Byte': 0.88}","{'Total scalar accesses': 3464448.0, 'Op per Byte': 33.52}",15.99,4.76,14524416.0,1622.29,23600.0,0.0,116195328.0,398.55,181.96,182.19,182.19,36.56,9163.91,3816.41,13961.78,ViT_43
151296.0,150528.0,301824.0,15740.0,9.59,"{'Total scalar accesses': 452352.0, 'Op per Byte': 0.33}","{'Total scalar accesses': 302592.0, 'Op per Byte': 0.5}","{'Total scalar accesses': 163904.0, 'Op per Byte': 0.92}","{'Total scalar accesses': 301824.0, 'Op per Byte': 0.5}",{},"{'Total scalar accesses': 21276.0, 'Op per Byte': 7.09}","{'Total scalar accesses': 15740.0, 'Op per Byte': 9.59}",15.96,4.76,18912.0,2.66,0.0503,0.0,151296.0,398.55,181.27,182.19,182.19,2219.45,1113.16,13316.41,17593.23,ViT_44
